Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2025-03-31 06:04:00,2025-03-31 06:04:00,412.95,0.0398000000000138,9.63889969296322e-05,412.93,412.93,412.97,403.0
2025-03-31 06:05:00,2025-03-31 06:05:00,412.93,-0.0199999999999818,-4.84320135609197e-05,412.98,412.9,412.98,176.0
2025-03-31 06:06:00,2025-03-31 06:06:00,412.855,-0.0749999999999886,-0.000181628847504392,412.875,412.855,412.875,2.0
2025-03-31 06:07:00,2025-03-31 06:07:00,412.9799,0.124899999999968,0.000302527521769067,412.92,412.89,412.9799,132.0
2025-03-31 06:08:00,2025-03-31 06:08:00,413.09,0.110099999999989,0.000266598931328107,412.98,412.98,413.09,355.0
2025-03-31 06:09:00,2025-03-31 06:09:00,413.2,0.110000000000014,0.000266285797283918,413.07,413.07,413.2,181.0
2025-03-31 06:10:00,2025-03-31 06:10:00,413.19,-0.00999999999999091,-2.42013552758734e-05,413.16,413.16,413.2,234.0
2025-03-31 06:11:00,2025-03-31 06:11:00,413.03,-0.160000000000025,-0.000387231055930746,413.14,413.03,413.19,2144.0
2025-03-31 06:12:00,2025-03-31 06:12:00,413.13,0.100000000000023,0.000242113163692765,413.07,413.061,413.14,327.0
2025-03-31 06:13:00,2025-03-31 06:13:00,413.085,-0.0450000000000159,-0.000108924551593968,413.14,413.085,413.19,354.0
2025-03-31 06:14:00,2025-03-31 06:14:00,413.08,-0.00499999999999545,-1.21040463826947e-05,413.0,413.0,413.09,428.0
2025-03-31 06:15:00,2025-03-31 06:15:00,413.14,0.0600000000000023,0.000145250314709021,413.12,413.12,413.14,34.0
2025-03-31 06:16:00,2025-03-31 06:16:00,413.12,-0.0199999999999818,-4.8409740039652e-05,413.18,413.12,413.19,26.0
2025-03-31 06:17:00,2025-03-31 06:17:00,413.15,0.0299999999999727,7.26181254840548e-05,413.15,413.15,413.15,1.0
2025-03-31 06:18:00,2025-03-31 06:18:00,413.06,-0.089999999999975,-0.000217838557424604,413.06,413.06,413.06,200.0
2025-03-31 06:19:00,2025-03-31 06:19:00,413.01,-0.0500000000000114,-0.000121047789667388,413.04,413.01,413.04,71.0
